实验次数,是否提前终止,终止迭代次数,终止能量,总求解时间(秒),平均单次迭代耗时(秒),迭代次数,95%置信区间下界(秒),95%置信区间上界(秒),置信区间宽度(秒)
1,True,2,0.0,14.7089,7.3545,2,6.0737,8.6352,2.5615
2,True,2,0.0,15.2899,7.645,2,2.9681,12.3218,9.3537
3,True,2,0.0,21.7971,10.8986,2,-34.2593,56.0565,90.3158
4,True,2,0.0,14.8882,7.4441,2,2.6418,12.2464,9.6047
5,True,2,0.0,37.2401,18.62,2,-3.4251,40.6652,44.0902
6,True,2,0.0,23.9281,11.9641,2,-3.573,27.5011,31.074
7,True,2,0.0,17.7562,8.8781,2,-1.3507,19.1068,20.4575
8,True,2,0.0,21.5658,10.7829,2,-31.9624,53.5283,85.4907
9,True,2,0.0,26.6034,13.3017,2,-21.9197,48.5231,70.4428
10,True,2,0.0,16.2035,8.1018,2,3.9563,12.2473,8.291
